"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northland",1
2006,"Male",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,"Waitemata",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,"Waitemata",1
2006,"Total",0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,7,"Waitemata",1
2007,"Male",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,"Waitemata",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,"Waitemata",1
2007,"Total",2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5,"Waitemata",1
2008,"Male",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,4,"Waitemata",1
2008,"Female",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,"Waitemata",1
2008,"Total",0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,1,6,"Waitemata",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,"Waitemata",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Waitemata",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,"Waitemata",1
2010,"Male",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,"Waitemata",1
2010,"Female",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,"Waitemata",1
2010,"Total",2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,7,"Waitemata",1
2011,"Male",0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,1,2,8,"Waitemata",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,"Waitemata",1
2011,"Total",0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1,2,10,"Waitemata",1
2012,"Male",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,"Waitemata",1
2012,"Female",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,"Waitemata",1
2012,"Total",1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,5,"Waitemata",1
2013,"Male",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,"Waitemata",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,"Waitemata",1
2013,"Total",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,4,"Waitemata",1
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Auckland",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,4,"Auckland",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,4,"Auckland",1
2007,"Male",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,"Auckland",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Auckland",1
2007,"Total",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,"Auckland",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Auckland",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Auckland",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Auckland",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Auckland",1
